Unnamed: 0,sentence,labels
0,Who's going to bring the office for insufficient funds in it? to pay for in store Okay.,irrelevant
1,Thanks. Bye.,call closing greeting
2,He's not there as he know. It's not he's in a hurry man go.,irrelevant
3,What are your travel dates?,did the rep correctly get the travel dates?
4,Pets that are a similar age and breed do satisfactory.,irrelevant
5,She should have an email and I sent off Friday evening.,irrelevant
7,"Yeah, that's the one and we've got a mobile Novato 217-211-6700.",irrelevant
8,Hi. Thank you for calling your assistance. My name is Sammy. How may I help you?,call opening greeting
9,Let me place you on hold for a moment while I verify your address.,call hold/did rep ask the exact customer address?
10,I'm still there I'm just looking through my email.,irrelevant
11,Okay,irrelevant
12,Hello. Good morning. Am i speaking...,call opening greeting
13,"As a result, the advice may not be appropriate for you, Simone, And, um, in this school, I will be asking you some questions.",irrelevant
14,"And this is just an estimation of the premium only when you apply insurance. Small detailed questions. Depending on your responses, we may offer a cover different to those in this way or decline your application. Yep.",estimation of premium disclaimer
15,"I’ll confirm your name spelling and date of birth, just a second.",did rep ask for the spelling of customer name?/did the rep ask for date of birth?
16,Hi too.,irrelevant
17,This is calling from Morgan Nancy Am speaking with Center.,call opening greeting
18,Any at all That we have a look at it because I'm not.,irrelevant
19,"Okay, let's go in and do a quote for you. So what ship its name?",irrelevant
20,"So it's a party up to you If you would want Thio to waive the six month waiting period for your pet to be covered right away. Um, yeah.",irrelevant
21,"Hold on a moment, we're checking your date of birth.",call hold/did the rep ask for date of birth?
22,"Phone voice mail service four o double 768691419 Please leave a message after the tone. When you've finished recording, please hang up or press the hash key for more options.",irrelevant
23,I'm placing you on a brief hold. Can I confirm your date of birth for verification purposes?,call hold/did the rep ask for date of birth?
24,"You requested for quotation sale of a property. How on that? Well, I have selected some solicit policy tower.",purpose of the call
25,"So sorry, can you say that again? All right.",irrelevant
26,Yes. Okay. So you waiting for the purchase.,irrelevant
27,That would be fine.,irrelevant
28,Just wanting to get a bit more information around this policy. Is that correct?,irrelevant
29,It's called the 4th or the actual physical address is dead center Waterford Place.,irrelevant
30,"This is what I'm going to, you know, explain. She was saying, Do you understand that any conditions have shown symptoms or any conditions that you're aware or prior to the commencement date of the policy or with in the applicable waiting period may not be covered? Hey, this is yeah. They cover themselves for this.",irrelevant
31,So for a moment. So you don't mind if you have a nexus.,irrelevant
32,"""Good afternoon. You called through the Lock here in ensuring go. How can I help you today?",call opening greeting
33,Requested for two days the go for purchase of a property andrew. Just try to get in touch with you to confirm a few details on your purchase transaction. So I can send across an accurate quotation for your reference.,purpose of the call
34,"This is with regards to the you request Daniel for the purchase of your property. The reason for my call is to confirm and verify to check if there are any changes on the information you've sir for me to check if the quotation is in across is an accurate code, you will on on a fix an accurate quotation",purpose of the call
35,"They become paid in full. Well, I wouldn't care to put money on that cuz nothing wrong with my health club. Person, but obviously far as I make nineties, I think the answer is it is is the 90 thing. Is that Line in the Sand if that makes sense.",irrelevant
36,"Let me check now. I can see that I can see that you're covered for. $510,000 Thanks without inflation adjustment.",irrelevant
37,"And, uh, are you okay? Right. The, um The information is also available on our website and will be sent to you if you just to complete the application. Okay. Okay. Ah, but away, uh, Simone is, uh, Winston a, um working guy dog.",irrelevant
38,"If you don't mind, so for our records, would you mind confirming for me your date of birth? 20 2007 944 what address we have on our records for you at the moment.",did the rep ask for date of birth?
39,"Can't take your call right now. Just leave your message after the tone. And when you're done, press hash or just hang up.",irrelevant
40,The rep requested the correct spelling of your name after informing you that all advice is general.,general advice warning/did rep ask for the spelling of customer name?
41,"But I will I'll pop it in and see if it is so stupid these days God knows we remained up and some of that I was going to say to get challenging, isn't it?",irrelevant
42,"Okay, uh, for guide dogs, huh? Yeah. Uh, you have a policy with that already, right?",irrelevant
43,It's just wait appointment. today Go ahead.,irrelevant
44,I could go into the complete these forms wage it is it's the policy in a life policy.,irrelevant
45,"I would be great. And then when I have a bit more time of my late hour lot involved, it sounds a lot of them.",irrelevant
46,"Perfect. Okay, let me just check your work email address and I'll see did you send it from your work one?",irrelevant
47,That's the best possible cover for our breed of dog. Is that right? It is the highest cover that any breed of dog that is our highest covers the highest coverage amount.,irrelevant
48,But I don't know the legal part of the process. Right? So I'm I'm not a to myself. I don't know the legal part of the process.,irrelevant
49,You just been reading doing this send them. Yeah. I haven't got those pages just to print off for you.,irrelevant
50,Thank you. I 311 for one month. Okay. So that's 003-311-8311.,irrelevant
51,We need to update your contact details. Can you provide your current address and phone number?,did rep ask the exact customer address?/secondary contact numbers
52,Alright. So do.,irrelevant
53,Do you want the have policy number for veronica? Yep. I'll take it down just in case.,irrelevant
54,Please wait briefly while we check your date of birth.,call hold/did the rep ask for date of birth?
55,"And you two have a promotional courage. No. Okay, there's one of the moment for two months.",irrelevant
56,Good morning. This is a message with James Mc lloyd. My name is. I'm calling from Morgan.,call opening greeting
57,"So what we need to do, thank you for giving me that information what I need to do then I need to go into our request system and set up a claim for you.",irrelevant
58,"Good morning. I have a travel insurance policy. I've just returned from my travels, and I broke my circuit board while I was away. And I just wondered, well, the way I read your policies is that I can claim against the policy for the third board. I just need to know what sort of documentation I need.",purpose of the call
59,Welcome to AA life. You're speaking with Wahid a good morning.,call opening greeting
60,"I can understand that. Yes. So what quote would you like to interview you? Oh, like place now? Yeah, Yeah. Yearly fortnightly On monthly.",irrelevant
61,Sorry the phone because you my end so I can can you hear me? Okay?,irrelevant
62,"No. No. No. It's gonna be insurance guy, and then you keep the the account in the top right hand corner.",irrelevant
63,I'm sorry about that. very good. That's good. Thanks for your help. You too. You too.,irrelevant
64,"Yes, Your date of birth.",did the rep ask for date of birth?
65,We've got two months free to pits under 12 months of age.,irrelevant
66,"So our policies has a standard one hundred dollar x would you like... We can double that to two hundred dollars and then reduce the price of the premium or wait if that's nil and it'll increase the price. So do you have a I mean, I just ask that the excess is that, like per a claim or just the one policy... So something happens. Yeah. It it kept. I I understand per claim, but I'm just gonna jump on that. Just give me a second fix. So like if we had covid, and then we had to change plans change everything receive. Would that be two hundred dollars on the yes? Claim? Yeah. So if your claim is paid under most sections, and excess is deducted from any payment we make to you. It's a hundred dollars mh. And it applies each person claiming and each incident under the section of the policy. So if Alright be better with the no exit. If we needed clients. Yeah. Because it's much difference. Like pay hundred ninety dollars to hundred and thirty. Okay. Do no access to okay. I'll move it up to no excess And would you like to be covered in any event of a natural disaster, relating to cancellation or disruption to your trip? It's about ten dollars per travel off. Is that the gold policy? So the gold policy does not cover cancellation or disruption with respect to natural off like a cyclone hurricane, tsunami bulk volcanic corruption. So... Okay. I can... I dollars a person.",was policy cover cost given?
67,"My name is Tom mc mclean. Yep. Mh. The waiting for the code, please? So we're i'm trying saying a document in your system. Yeah. And it needs two signatures, but we can only... We'll only seem be like get one signature it won't move under the box for the next segment. So I don't know if you can help me For that?",purpose of the call
68,"Okay, it's just when you these things get a little bit of a mystery, you know, there's one that we can do we can post out for you. If you see any issues, obviously, you've got a snow but still need to Friday from 8 a.m. To 6 p.m. But other than that was anything else I can help you with today pretty much at the moment.",irrelevant
69,No claims are large during this time. Okay?,irrelevant
70,". Net worth. So, can you stop watching it rise up.",irrelevant
71,"Quite remember, I'm gonna read the other policy. Anyone?",irrelevant
72,Could you reconfirm your name and address so that I can proceed with the advice?,did rep ask for the spelling of customer name?/did rep ask the exact customer address?/general advice warning
73,"Before we continue, I need to verify your name and date of birth.",did rep ask for the spelling of customer name?/did the rep ask for date of birth?
74,That me say cricket lane.,irrelevant
75,"Do you want to load it off the bank account or the bulb itself? Well, the payments have been coming off the debit card. I believe it's absolutely they have been discontinued. Just checking now.",irrelevant
76,"During this call, our conversation will be recorded to start let's grab your name quickly",call recording disclaimer/did rep ask for the spelling of customer name?
77,Yep. No problem. Your first name? Just for reference.,did rep ask for the spelling of customer name?
78,"Well, we take the blood pressure tablet. Is that classes as a When i got away to put the medical... Heat and it's started of coming up and dying. I'm doing something wrong. Alright. Yeah. So I just try to put it in as a single. Yeah.",irrelevant
79,Avera assistant here. Notice that any coverage information given to you by our agent is general advice only. then you'll need to hang up all along with our product disclosure statement when you decide what you want to do.,irrelevant
80,I haven't got it on me at the moment. Sure.,irrelevant
81,The home address and phone number. Phone number is 0413372283 affected.,irrelevant
82,"No. No. Perfect. Perfect. So do you informed me that you were actually went for a viewing in the morning, how you went through if i if it will be asking. Yeah.",irrelevant
83,"I know what I've been to speak to Yankee, please on my Oakland broker.",purpose of the call
84,Will you be traveling anywhere else? Over to France. Okay. Alright.,irrelevant
85,Twenty first of april.,irrelevant
86,All right. How much do you usually go up? Every year. All of you don't see much when they're still so young.,irrelevant
87,I'd be moment while I bring the details.,irrelevant
88,"Did you get all of that. Oh, God.",irrelevant
89,I look. Pretty sure I see you've already done that. So you're giving us with be a account number.,irrelevant
